site_id,vegetation_type,metadata_source
US-MN1,CRO,ameriflux_site_search
US-MN2,CRO,ameriflux_site_search
US-MN3,CRO,ameriflux_site_search
US-MO1,CRO,ameriflux_site_search
US-MO2,GRA,ameriflux_site_search
US-MO3,CRO,ameriflux_site_search
US-MOZ,DBF,ameriflux_site_search
US-MPJ,WSA,ameriflux_site_search
US-MRF,ENF,ameriflux_site_search
US-MRM,WET,ameriflux_site_search
US-MSR,CRO,ameriflux_site_search
US-MTB,ENF,ameriflux_site_search
US-MUR,WET,ameriflux_site_search
US-MVF,CRO,ameriflux_site_search
US-MVW,CRO,ameriflux_site_search
US-MWA,CRO,ameriflux_site_search
US-MWF,MF,ameriflux_site_search
US-MWS,URB,ameriflux_site_search
US-MWU,URB,ameriflux_site_search
US-MWW,WET,ameriflux_site_search
US-MYB,WET,ameriflux_site_search
US-MZA,WET,ameriflux_site_search
US-NC1,ENF,ameriflux_site_search
US-NC2,ENF,ameriflux_site_search
US-NC3,ENF,ameriflux_site_search
US-NC4,WET,ameriflux_site_search
US-NC5,ENF,ameriflux_site_search
US-NE1,CRO,ameriflux_site_search
US-NE2,CRO,ameriflux_site_search
US-NE3,CRO,ameriflux_site_search
US-NGB,SNO,ameriflux_site_search
US-NGC,GRA,ameriflux_site_search
US-NMJ,ENF,ameriflux_site_search
US-NP1,CRO,ameriflux_site_search
US-NP2,CRO,ameriflux_site_search
US-NR1,ENF,ameriflux_site_search
US-NR2,ENF,ameriflux_site_search
US-NR3,GRA,ameriflux_site_search
US-NR4,GRA,ameriflux_site_search
US-NRF,WET,ameriflux_site_search
US-NRS,WET,ameriflux_site_search
US-NSA,CRO,ameriflux_site_search
US-NSB,CRO,ameriflux_site_search
US-NSW,GRA,ameriflux_site_search
US-OF1,CRO,ameriflux_site_search
US-OF2,CRO,ameriflux_site_search
US-OHO,DBF,ameriflux_site_search
US-OK1,CRO,ameriflux_site_search
US-OK2,CRO,ameriflux_site_search
US-ONA,GRA,ameriflux_site_search
US-OPE,CRO,ameriflux_site_search
US-ORV,WET,ameriflux_site_search
US-OWC,WET,ameriflux_site_search
US-PAS,GRA,ameriflux_site_search
US-PEA,DBF,ameriflux_site_search
US-PFA,MF,ameriflux_site_search
US-PFB,ENF,ameriflux_site_search
US-PFC,DBF,ameriflux_site_search
US-PFD,WET,ameriflux_site_search
US-PFE,WAT,ameriflux_site_search
US-PFF,GRA,ameriflux_site_search
US-PFG,ENF,ameriflux_site_search
US-PFH,ENF,ameriflux_site_search
US-PFI,DBF,ameriflux_site_search
US-PFJ,DBF,ameriflux_site_search
US-PFK,DBF,ameriflux_site_search
US-PFL,DBF,ameriflux_site_search
US-PFM,DBF,ameriflux_site_search
